year,production_volume,forecasted_production_volume
1950,1.5,
1976,50,
1989,100,
2002,200,
2008,245,
2009,250,
2010,270,
2011,279,
2012,288,
2013,299,
2014,311,
2015,322,
2016,335,
2017,348,
2018,359,
2019,368,
2020,,383
2021,,403
2022,,425
2023,,449
2024,,473
2025,,497
2026,,522
2027,,547
2028,,572
2029,,597
2030,,622
2031,,647
2032,,697
2033,,722
2034,,747
2035,,772
2036,,747
2037,,772
2038,,798
2039,,823
2040,,848
2041,,873
2042,,898
2043,,923
2044,,948
2045,,973
2046,,998
2047,,1023
2048,,1048
2049,,1073
2050,,1099
2051,,1124
2052,,1149
2053,,1174
2054,,1199
2055,,1224
2056,,1249
2057,,1274
2058,,1299
2059,,1324
2060,,1349
2061,,1375
